offer_type,gross_margin_pct,modeled_incremental_sales_usd,modeled_incremental_gross_profit_usd,total_reward_usd,modeled_net_contribution_usd,covers_reward_cost
bogo,20,143085.31,28617.06,113440.0,-84822.94,False
bogo,30,143085.31,42925.59,113440.0,-70514.41,False
bogo,40,143085.31,57234.12,113440.0,-56205.88,False
bogo,50,143085.31,71542.65,113440.0,-41897.35,False
bogo,60,143085.31,85851.19,113440.0,-27588.81,False
bogo,80,143085.31,114468.25,113440.0,1028.25,True
discount,20,182056.47,36411.29,51236.0,-14824.71,False
discount,30,182056.47,54616.94,51236.0,3380.94,True
discount,40,182056.47,72822.59,51236.0,21586.59,True
discount,50,182056.47,91028.24,51236.0,39792.24,True
discount,60,182056.47,109233.88,51236.0,57997.88,True
discount,80,182056.47,145645.18,51236.0,94409.18,True
