dataset,dimension,category,measure,value
response_timing,offer_type,bogo,median_time_to_view_h,12.0
response_timing,offer_type,bogo,median_time_to_complete_h,42.0
response_timing,offer_type,discount,median_time_to_view_h,12.0
response_timing,offer_type,discount,median_time_to_complete_h,60.0
response_timing,offer_type,informational,median_time_to_view_h,18.0
reward_efficiency,offer_type,bogo,completion_share_pct,46.66
reward_efficiency,offer_type,discount,completion_share_pct,53.34
reward_efficiency,offer_type,informational,completion_share_pct,0.0
reward_efficiency,offer_type,bogo,reward_cost_share_pct,68.89
reward_efficiency,offer_type,discount,reward_cost_share_pct,31.11
reward_efficiency,offer_type,informational,reward_cost_share_pct,0.0
reward_efficiency,offer_type,bogo,reward_cost_per_received_usd,3.72
reward_efficiency,offer_type,discount,reward_cost_per_received_usd,1.68
reward_efficiency,offer_type,informational,reward_cost_per_received_usd,0.0
reward_efficiency,offer_type,bogo,total_reward_usd,113440.0
reward_efficiency,offer_type,discount,total_reward_usd,51236.0
reward_efficiency,offer_type,informational,total_reward_usd,0.0
incrementality_model,offer_type,bogo,vs_informational_spend_change_per_day_usd,0.82
incrementality_model,offer_type,discount,vs_informational_spend_change_per_day_usd,0.84
incrementality_model,offer_type,bogo,vs_informational_tx_change_per_day,0.064
incrementality_model,offer_type,discount,vs_informational_tx_change_per_day,0.049
incrementality_model,offer_type,bogo,sales_per_reward_usd,1.26
incrementality_model,offer_type,discount,sales_per_reward_usd,3.55
incrementality_model,offer_type,bogo,break_even_margin_pct,79.28
incrementality_model,offer_type,discount,break_even_margin_pct,28.14
