offer_type,metric,received,n_events,event_rate_pct,median_h,p75_h,within_24h_pct_received,within_48h_pct_received,within_72h_pct_received
overall,view,76277,56567,74.16,12.0,36.0,49.91,63.22,69.48
overall,complete,76277,33101,43.4,48.0,90.0,13.55,22.41,29.0
overall,view_to_complete,76277,23267,30.5,30.0,66.0,13.73,19.9,23.93
bogo,view,30499,25250,82.79,12.0,36.0,56.62,71.01,77.34
bogo,complete,30499,15501,50.82,42.0,78.0,18.69,29.99,38.04
bogo,view_to_complete,30499,10941,35.87,24.0,54.0,18.33,25.87,30.55
discount,view,30543,21370,69.97,12.0,36.0,46.57,58.63,64.49
discount,complete,30543,17600,57.62,60.0,108.0,15.17,26.01,34.44
discount,view_to_complete,30543,12326,40.36,36.0,78.0,15.99,23.86,29.26
informational,view,15235,9947,65.29,18.0,36.0,43.19,56.8,63.74
