offer_id,offer_type,channel
ae264e3637204a6fb9bb56bc8210ddfd,bogo,email
ae264e3637204a6fb9bb56bc8210ddfd,bogo,mobile
ae264e3637204a6fb9bb56bc8210ddfd,bogo,social
4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,web
4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,email
4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,mobile
4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,social
3f207df678b143eea3cee63160fa8bed,informational,web
3f207df678b143eea3cee63160fa8bed,informational,email
3f207df678b143eea3cee63160fa8bed,informational,mobile
9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,web
9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,email
9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,mobile
0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,web
0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,email
2298d6c36e964ae4a3e7e9706d1fb8c2,discount,web
2298d6c36e964ae4a3e7e9706d1fb8c2,discount,email
2298d6c36e964ae4a3e7e9706d1fb8c2,discount,mobile
2298d6c36e964ae4a3e7e9706d1fb8c2,discount,social
fafdcd668e3743c1bb461111dcafc2a4,discount,web
fafdcd668e3743c1bb461111dcafc2a4,discount,email
fafdcd668e3743c1bb461111dcafc2a4,discount,mobile
fafdcd668e3743c1bb461111dcafc2a4,discount,social
5a8bc65990b245e5a138643cd4eb9837,informational,email
5a8bc65990b245e5a138643cd4eb9837,informational,mobile
5a8bc65990b245e5a138643cd4eb9837,informational,social
f19421c1d4aa40978ebb69ca19b0e20d,bogo,web
f19421c1d4aa40978ebb69ca19b0e20d,bogo,email
f19421c1d4aa40978ebb69ca19b0e20d,bogo,mobile
f19421c1d4aa40978ebb69ca19b0e20d,bogo,social
2906b810c7d4411798c6938adc9daaa5,discount,web
2906b810c7d4411798c6938adc9daaa5,discount,email
2906b810c7d4411798c6938adc9daaa5,discount,mobile
